scan,cluster
SPRING1857,C3
SPRING1859,C3
SPRING1861,C7
SPRING1862,C5
SPRING1863,C2
SPRING1864,C3
SPRING1865,C3
SPRING1867,C3
SPRING1869,C2
SPRING1870,C2
SPRING1871,C2
SPRING1875,C7
SPRING1876,C3
SPRING1877,C3
SPRING1879,C7
SPRING1881,C1
SPRING1882,C7
SPRING1883,C4
SPRING1884,C6
SPRING1885,C1
SPRING1886,C2
SPRING1888,C3
SPRING1889,C3
SPRING1891,C1
SPRING1894,C7
SPRING1896,C3
SPRING1897,C2
SPRING1898,C1
SPRING1899,C6
SPRING1901,C5
SPRING1905,C3
SPRING1906,C5
SPRING1908,C7
SPRING1909,C1
SPRING1911,C2
SPRING1912,C7
SPRING1913,C4
SPRING1914,C5
SPRING1915,C3
SPRING1916,C7
SPRING1917,C1
SPRING1919,C3
SPRING1921,C6
SPRING1923,C3
SPRING1924,C3
SPRING1925,C5
SPRING1926,C1
SPRING1928,C3
SPRING1930,C7
SPRING1931,C2
SPRING1932,C3
SPRING1934,C2
SPRING1935,C3
SPRING1936,C1
SPRING1938,C3
SPRING1939,C1
SPRING1940,C1
SPRING1942,C7
SPRING1944,C7
SPRING1945,C7
SPRING1946,C5
SPRING1947,C3
SPRING1949,C5
SPRING1950,C5
SPRING1951,C2
SPRING1952,C3
SPRING1953,C2
SPRING1954,C3
SPRING1955,C1
SPRING1956,C4
SPRING1958,C3
SPRING1960,C4
SPRING1961,C1
SPRING1963,C3
SPRING1964,C7
SPRING1965,C3
SPRING1967,C3
SPRING1969,C2
SPRING1971,C1
SPRING1972,C1
SPRING1973,C7
SPRING1975,C3
SPRING1976,C3
SPRING1977,C1
SPRING1978,C1
SPRING1979,C2
SPRING1981,C2
SPRING1983,C1
SPRING1984,C6
SPRING1986,C1
SPRING1989,C2
SPRING1990,C3
SPRING1992,C3
SPRING1994,C2
SPRING1995,C2
SPRING1997,C1
SPRING1998,C1
SPRING1999,C3
SPRING2000,C3
SPRING2002,C5
SPRING2004,C2
SPRING2005,C1
SPRING2007,C3
SPRING2008,C7
SPRING2009,C5
SPRING2011,C2
SPRING2012,C3
SPRING2013,C3
SPRING2015,C1
SPRING2016,C2
SPRING2017,C3
SPRING2018,C2
SPRING2108,C1
SPRING2109,C5
SPRING2113,C3
SPRING2114,C5
SPRING2115,C7
SPRING2116,C7
SPRING2117,C4
SPRING2118,C7
SPRING2119,C2
SPRING2132,C7
SPRING2136,C1
SPRING2138,C3
SPRING2140,C4
SPRING2149,C6
SPRING2150,C6
SPRING2158,C7
SPRING2160,C1
SPRING2172,C5
SPRING2173,C7
SPRING2174,C7
SPRING2176,C7
SPRING2189,C6
SPRING2196,C2
SPRING2201,C7
SPRING2203,C2
SPRING2204,C7
SPRING2216,C7
SPRING2229,C4
SPRING2235,C7
SPRING2243,C3
SPRING2248,C1
SPRING2254,C3
SPRING2258,C7
SPRING2262,C1
SPRING2269,C2
SPRING2273,C7
SPRING2280,C2
SPRING2281,C3
SPRING2282,C1
SPRING2284,C7
SPRING2286,C3
SPRING2287,C6
SPRING2294,C7
SPRING2295,C3
SPRING2297,C4
SPRING2298,C6
SPRING2300,C7
SPRING2301,C1
SPRING2302,C7
SPRING2303,C1
SPRING2306,C7
SPRING2316,C7
SPRING2317,C3
SPRING2323,C6
SPRING2325,C5
SPRING2326,C6
SPRING2332,C3
SPRING2334,C1
SPRING2336,C5
SPRING2339,C2
SPRING2344,C2
SPRING2345,C1
SPRING2346,C7
SPRING2347,C3
SPRING2348,C2
SPRING2350,C2
SPRING2352,C4
SPRING2353,C6
SPRING2354,C2
SPRING2355,C7
SPRING2356,C6
SPRING2357,C7
SPRING2358,C4
SPRING2359,C7
SPRING2360,C4
SPRING2361,C2
SPRING2362,C3
SPRING2363,C5
SPRING2364,C1
SPRING2365,C1
SPRING2366,C5
SPRING2367,C7
SPRING2368,C3
SPRING2369,C4
SPRING2370,C2
SPRING2371,C6
SPRING2372,C3
SPRING2374,C1
SPRING2375,C6
SPRING2377,C7
SPRING2379,C4
SPRING2380,C7
SPRING2381,C7
SPRING2382,C2
SPRING2383,C6
SPRING2384,C7
SPRING2386,C7
SPRING2388,C7
SPRING2389,C3
SPRING2390,C6
SPRING2391,C7
SPRING2394,C1
SPRING2397,C4
SPRING2398,C2
SPRING2399,C7
SPRING2400,C1
SPRING2402,C5
SPRING2404,C4
SPRING2405,C7
SPRING2408,C3
SPRING2410,C3
SPRING2411,C2
SPRING2412,C3
SPRING2413,C5
SPRING2415,C3
SPRING2416,C7
SPRING2417,C2
SPRING2418,C3
SPRING2419,C2
SPRING2422,C1
SPRING2423,C7
SPRING2424,C7
SPRING2425,C6
SPRING2426,C3
SPRING2427,C7
SPRING2429,C6
SPRING2430,C7
SPRING2431,C5
SPRING2433,C1
SPRING2434,C1
SPRING2436,C7
SPRING2437,C1
SPRING2438,C3
SPRING2440,C2
SPRING2441,C7
SPRING2442,C4
SPRING2443,C2
SPRING2445,C3
SPRING2450,C6
SPRING2451,C7
SPRING2452,C6
SPRING2453,C1
SPRING2455,C1
SPRING2456,C7
SPRING2457,C1
SPRING2461,C3
SPRING2462,C3
SPRING2463,C7
SPRING2464,C3
SPRING2465,C3
SPRING2466,C3
SPRING2469,C4
SPRING2471,C3
SPRING2472,C4
SPRING2475,C3
SPRING2476,C6
SPRING2480,C3
SPRING2482,C3
SPRING2484,C2
SPRING2486,C3
SPRING2487,C4
SPRING2490,C3
SPRING2491,C3
SPRING2492,C5
SPRING2493,C4
SPRING2495,C3
SPRING2496,C3
SPRING2497,C6
SPRING2498,C3
SPRING2500,C7
SPRING2501,C7
SPRING2502,C7
SPRING2505,C1
SPRING2507,C2
SPRING2508,C3
SPRING2509,C6
SPRING2510,C2
SPRING2511,C1
SPRING2513,C1
SPRING2516,C2
SPRING2517,C6
SPRING2520,C3
SPRING2521,C3
SPRING2523,C6
SPRING2524,C4
SPRING2526,C3
SPRING2527,C3
SPRING2528,C2
SPRING2529,C1
SPRING2531,C3
SPRING2533,C4
SPRING2534,C1
SPRING2535,C1
SPRING2536,C7
SPRING2537,C3
SPRING2539,C1
SPRING2542,C7
SPRING2544,C3
SPRING2545,C7
SPRING2546,C3
SPRING2547,C1
SPRING2548,C3
SPRING2550,C4
SPRING2552,C5
SPRING2553,C5
SPRING2554,C6
SPRING2555,C1
SPRING2556,C3
SPRING2557,C3
SPRING2558,C1
SPRING2559,C5
SPRING2560,C2
SPRING2561,C3
SPRING2563,C2
SPRING2564,C4
SPRING2565,C3
SPRING2566,C1
SPRING2567,C4
SPRING2569,C5
SPRING2570,C5
SPRING2572,C1
SPRING2573,C1
SPRING2574,C4
SPRING2575,C7
SPRING2577,C4
SPRING2578,C1
SPRING2579,C1
SPRING2580,C7
SPRING2581,C4
SPRING2584,C1
SPRING2585,C3
SPRING2586,C3
SPRING2588,C4
SPRING2590,C7
SPRING2592,C7
SPRING2595,C6
SPRING2598,C3
SPRING2599,C5
SPRING2600,C1
SPRING2603,C7
SPRING2605,C6
SPRING2606,C1
SPRING2609,C7
SPRING2611,C1
SPRING2616,C6
SPRING2618,C3
SPRING2619,C7
SPRING2620,C3
SPRING2622,C7
SPRING2625,C3
SPRING2626,C3
SPRING2627,C1
SPRING2630,C7
SPRING2632,C6
SPRING2633,C3
SPRING2635,C3
SPRING2636,C3
